city_name,postal_code,price_sqm,region,province,longitude,lattitude
Melen,4633.0,1682.5232472291298,Wallonie,Liège,5.7370469,50.6460841
Melles,7540.0,1481.3270508257267,Wallonie,Hainaut,3.4818996,50.646728
Mellet,6211.0,1697.0876254001253,Wallonie,Hainaut,4.4782005997401,50.50462075
Mellier,6860.0,1411.3733492300614,Wallonie,Luxembourg,5.5209461,49.7671531
Melsen,9820.0,2114.590242576906,Flandre,Flandre-Orientale,3.6928827000000006,50.9579283
Membruggen,3770.0,1412.3422213375577,Flandre,Limbourg,5.5391564,50.8178133
Menen,8930.0,1400.2604332728154,Flandre,Flandre-Occidentale,3.1156565,50.7969879
Merbes-Le-Château,6567.0,1297.3431624387076,Wallonie,Hainaut,4.1644816,50.3234035
Merksem,2170.0,1852.7181964949268,Flandre,Anvers,4.4453401635115,51.24994295
Merksplas,2330.0,1883.0321600156879,Flandre,Anvers,4.8627541,51.3580597
Meslin-L'evêque,7822.0,1456.9798668626497,Wallonie,Hainaut,3.8480962,50.6485784
Mespelare,9200.0,1652.4140426982883,Flandre,Flandre-Orientale,4.0652617659305,50.99557415
Messancy,6780.0,2146.165504510777,Wallonie,Luxembourg,5.816928599999999,49.5969055
Mettekoven,3870.0,1477.260817029056,Flandre,Limbourg,5.2896635000000005,50.7803053
Meulebeke,8760.0,1553.961257752698,Flandre,Flandre-Occidentale,3.2859605761212003,50.9484788
Meyerode,4770.0,1114.0343915343917,Wallonie,Liège,6.1884932,50.3288415
